ff_max,ffm,tmax,tmin,tm,umax,umin,td_m,ewsm,rrr24
4,1.4,36.3,14.4,25.3,42,14,2.34,42.2721,0.0
12,3.14286,5.1,-1.6,1.8,92,52,-3.64286,6.68143,0.0
10,2.375,-2.6,-6.3,-4.4,67,40,-12.425,4.17188,
9,2.0,5.5,-1.3,2.1,84,56,-3.775,6.86819,0.0
2,0.333333,6.7,-3.5,1.6,95,61,-1.8,7.06112,0.0
8,1.85714,3.8,-2.6,0.6,97,82,2.13e-09,6.86144,0.0
5,2.33333,5.3,0.6,3.0,94,84,0.15,7.03987,2.0
2,0.8,3.3,-4.8,-0.8,88,58,-5.62,5.84456,5.0
0,0.0,4.8,-7.8,-1.5,96,62,-4.94,5.78491,
3,0.166667,8.2,-5.3,1.4,99,57,-3.35,6.09997,
3,0.166667,8.9,-6.9,1.0,99,45,-4.63333,6.40567,
2,0.4,10.6,-6.7,2.0,94,29,-6.12,7.73353,0.0
12,2.42857,9.2,-5.2,2.0,85,34,-6.0,7.85221,0.0
5,0.25,10.3,-6.0,2.2,93,44,-4.0875,6.58336,0.0
2,0.333333,11.9,-6.1,2.9,95,29,-4.9,7.75185,
23,2.25,10.1,1.9,6.0,85,37,-4.3,8.49459,0.0
7,1.0,10.9,-5.5,2.7,93,31,-5.9875,7.30138,0.0
8,1.5,10.5,-6.2,2.2,95,41,-3.175,8.13865,0.0
6,4.0,8.1,0.7,4.4,95,67,1.3,8.19495,0.5
6,5.4,2.9,-0.9,1.0,74,55,-6.32,6.22377,9.0
15,4.28571,-0.7,-5.2,-2.9,96,51,-7.94286,4.6425,0.0
10,3.0,-2.9,-7.1,-5.0,90,48,-11.6625,3.85536,0.2
1,0.166667,2.0,-11.3,-4.7,87,50,-10.5667,4.53942,
4,0.0,6.7,-8.3,-0.8,95,37,-7.28571,5.86131,
7,0.875,6.6,-3.5,1.5,86,48,-5.0375,6.27666,
27,1.875,5.9,-4.9,0.5,90,39,-6.125,6.12197,0.0
4,0.428571,10.2,-8.4,0.9,91,38,-6.24286,6.57195,0.0
3,0.25,13.7,-8.0,2.8,92,30,-6.0875,7.16725,0.0
14,2.0,13.2,-6.7,3.3,87,15,-7.425,7.77139,
6,2.66667,9.2,-0.1,4.5,78,44,-3.15,8.4437,0.0
4,2.2,1.8,-2.5,-0.4,96,70,-3.78,5.62548,
6,5.4,-3.0,-7.4,-5.2,72,66,-10.8,3.99973,0.1
6,5.0,-5.2,-14.0,-9.6,73,62,-14.58,3.04306,0.0
5,4.4,-3.8,-13.8,-8.8,73,62,-12.6,3.46944,0.0
4,1.8,6.3,-10.9,-2.3,83,37,-9.7,5.93708,0.0
2,0.8,10.7,-7.9,1.4,87,35,-5.04,7.90659,
5,1.8,9.8,-3.4,3.2,86,42,-2.96,8.66677,0.0
6,4.0,10.2,-2.0,4.1,70,40,-4.5,9.39973,0.0
3,1.4,11.9,-5.5,3.2,90,37,-4.44,8.9329,0.0
7,3.4,12.6,-4.9,3.9,89,29,-4.98,10.1848,
8,5.0,13.1,0.9,7.0,59,28,-5.3,10.942,0.0
5,2.2,16.3,-2.5,6.9,74,22,-6.38,12.0754,0.0
9,5.2,17.5,2.3,9.9,48,18,-7.26,14.9255,0.0
6,3.2,8.4,-0.7,3.8,98,50,-0.34,8.5768,
3,1.0,10.6,-3.3,3.7,97,50,-0.92,8.81227,0.2
0,0.0,15.1,-4.7,5.2,98,35,-1.94,10.3918,
2,0.8,15.9,-2.3,6.8,93,32,-1.7,11.4577,
3,1.6,11.9,4.1,8.0,94,65,3.5,9.81205,1.2
6,4.6,8.0,-0.8,3.6,78,57,-0.56,8.89831,
6,5.4,12.3,-0.5,5.9,77,42,-1.96,10.1861,0.0
4,2.0,15.7,-1.3,7.2,67,33,-3.5,11.3616,0.0
2,1.2,13.9,-4.1,4.9,87,34,-2.82,10.7301,
0,0.0,8.8,-0.9,4.0,83,70,1.14,8.91104,4.0
